"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZDHHC9",44.3224350935137,63.5284092060104,6.398188792181,4.58651224095056e-10,6.20324190258382e-09,12.4791956465548
"TSPAN17",9.18685169097428,18.5376130315518,6.39538632261492,4.66316848503955e-10,6.30254850753474e-09,12.4632027311107
"GLRX2",7.46799747443654,17.0731963538844,6.39474591072845,4.68086116609884e-10,6.32208000847823e-09,12.4595488693734
"HMBS",8.17782660400505,12.8312990862286,6.39449388695749,4.68784185576378e-10,6.32712662373433e-09,12.4581110317086
"TMX1",17.5142512311455,34.0290493731734,6.39233073955689,4.74817887823968e-10,6.40248823735135e-09,12.4457717895985
"RSPO2",-4.95120036626076,1.70160249954363,-6.39225718747862,4.75024379810665e-10,6.40248823735135e-09,12.445352285505
"MON1B",14.0054870295171,31.5428589243978,6.39212067644865,4.75407857584497e-10,6.4032316619271e-09,12.4445737054807
"SMG5",35.3044552410757,63.5076684861484,6.39166869825181,4.76679690797406e-10,6.41555455921880e-09,12.441995978512
"PDE7A",7.42655727453948,11.0926097621026,6.39156190866629,4.76980675325194e-10,6.41555455921880e-09,12.4413869564031
"KCTD13",6.00704836766643,9.99946322035581,6.39006128600724,4.81229897582689e-10,6.46824720369068e-09,12.4328297557004
"LARP4",11.3890112024338,19.8420358027512,6.38956471325626,4.82644162806324e-10,6.4827886413304e-09,12.4299984386911
"CCT4",71.4483196164397,140.226931609421,6.38905627812509,4.84096431871991e-10,6.49782017260801e-09,12.4270996691956
"C1orf159",4.24793848507082,7.44679610219572,6.38844924346406,4.8583594385719e-10,6.51429632061305e-09,12.4236389918173
"DNAJC25",4.14562437141741,9.55020383824244,6.38839490374921,4.85991957467671e-10,6.51429632061305e-09,12.4233292164432
"TMEM182",2.13685335002822,3.30669696672219,6.38735519321413,4.88986520575437e-10,6.54993414202112e-09,12.4174025286158
"MSH2",14.1465710439423,19.4385226083529,6.38531526703647,4.9491451772802e-10,6.62478918273821e-09,12.4057765425623
"RAD54L",7.01667253694478,7.96108612883294,6.38500401823663,4.95825171750687e-10,6.63242683446753e-09,12.4040029302962
"ABCF3",10.5906499900593,22.9865845049303,6.38462039836231,4.96949828450018e-10,6.64291467050082e-09,12.4018170162754
"FGFR1OP",1.64734417639334,2.60396512300189,6.38353558924204,5.00143702663784e-10,6.68102920072039e-09,12.3956362104044
"SMOC2",-144.325937974607,69.6434802753106,-6.38285857012533,5.02147152133809e-10,6.70320048464454e-09,12.3917792563519
"MSI2",7.90728479931673,12.0692245830666,6.37989643990515,5.1100560053578e-10,6.81678674914454e-09,12.3749079776072
"HSPB6",-1020.50712008586,347.925219769978,-6.37837302205906,5.15620917883637e-10,6.86966549303428e-09,12.3662335669714
"MCM2",32.5332667678412,38.4653065043159,6.37815996277241,5.16269644693446e-10,6.86966549303428e-09,12.365020530646
